[34343, 68686, 103029, 137372, 171715, 206058, 240401, 274744, 309087, 343430]
[2323, 4646, 6969, 9292, 11615, 13938, 16261, 18584, 20907, 23230]
[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]
[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]
[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]
[23, 46, 69, 92, 115, 138, 161, 184, 207, 230]
[243, 486, 729, 972, 1215, 1458, 1701, 1944, 2187, 2430]
[56475856, 112951712, 169427568, 225903424, 282379280, 338855136, 395330992, 451806848, 508282704, 564758560]
[73, 146, 219, 292, 365, 438, 511, 584, 657, 730]
[452, 904, 1356, 1808, 2260, 2712, 3164, 3616, 4068, 4520]
[4536, 9072, 13608, 18144, 22680, 27216, 31752, 36288, 40824, 45360]
[3456, 6912, 10368, 13824, 17280, 20736, 24192, 27648, 31104, 34560]
[25, 50, 75, 100, 125, 150, 175, 200, 225, 250]
[354, 708, 1062, 1416, 1770, 2124, 2478, 2832, 3186, 3540]
[214, 428, 642, 856, 1070, 1284, 1498, 1712, 1926, 2140]
[2131, 4262, 6393, 8524, 10655, 12786, 14917, 17048, 19179, 21310]
[311, 622, 933, 1244, 1555, 1866, 2177, 2488, 2799, 3110]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[21, 42, 63, 84, 105, 126, 147, 168, 189, 210]
[23, 46, 69, 92, 115, 138, 161, 184, 207, 230]
[23, 46, 69, 92, 115, 138, 161, 184, 207, 230]
[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]
[23, 46, 69, 92, 115, 138, 161, 184, 207, 230]
[343434, 686868, 1030302, 1373736, 1717170, 2060604, 2404038, 2747472, 3090906, 3434340]
[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]
[43, 86, 129, 172, 215, 258, 301, 344, 387, 430]
[43, 86, 129, 172, 215, 258, 301, 344, 387, 430]
